#{"t_start": 1779524107.8075707, "env_id": "None"}
r,l,t
-29.112988,8,14.543299
-6.870981,8,14.555894
-87.129931,8,14.57347
-80.193821,8,14.585834
-106.949443,8,14.603099
-137.045995,8,14.624661
-32.132167,8,14.639994
-39.911783,8,14.656033
-119.285929,8,14.670824
-157.665399,8,14.68932
-207.955522,8,14.70456
-36.147888,8,14.717153
-36.175224,8,14.733818
-14.780418,8,14.739262
-60.538456,8,14.764696
-105.094843,8,14.782064
-43.647939,8,15.130877
-12.003471,8,15.151157
-47.823022,8,15.161047
-169.644881,8,15.176951
-32.258927,8,15.190742
-112.571782,8,15.204302
-65.851033,8,15.221617
-132.67338,8,15.233204
-82.119192,8,15.253052
-57.779495,8,15.268858
-40.455934,8,15.280166
-50.625093,8,15.296231
-163.371567,8,15.307626
-32.229226,8,15.325648
-60.067355,8,15.34691
-84.238318,8,15.356924
-141.532598,8,15.372708
-27.175877,8,15.382484
-211.423181,8,15.39828
-96.539075,8,15.410037
-154.232324,8,15.410037
-74.883408,8,15.437634
-65.358122,8,15.441379
-17.673537,8,15.464697
-110.563027,8,15.478409
-156.850847,8,15.490411
-11.508634,8,15.507928
-95.904668,8,15.521386
-44.195776,8,15.541071
-143.731257,8,15.555705
-76.268752,8,15.565199
-236.685066,8,15.580966
-56.528678,8,15.59098
-198.114394,8,15.606865
-49.203964,8,15.620049
-85.850604,8,15.632086
-23.194069,8,15.649352
-106.9664,8,15.659581
-28.428668,8,15.679486
-112.544732,8,15.699531
-154.021487,8,15.709805
-115.621038,8,15.72358
-31.154168,8,15.733583
-115.482556,8,15.733583
-195.400343,8,15.767281
-30.424628,8,15.767281
-15.366762,8,15.785339
-77.872829,8,15.797402
-132.841402,8,15.817163
-67.374918,8,15.829293
-63.302065,8,15.829293
-52.609584,8,15.845438
-87.490192,8,15.861377
-61.274394,8,15.888613
-34.510333,8,15.900657
-75.89572,8,15.908437
-104.718591,8,15.924051
-51.120592,8,15.936095
-2.734864,8,15.949889
-8.889715,8,15.955748
-149.928292,8,15.971874
-24.131123,8,15.987879
-88.369628,8,16.003773
-22.409419,8,16.0195
-49.609778,8,16.035368
-95.465193,8,16.051372
-38.522582,8,16.065694
-43.968317,8,16.077081
-69.050356,8,16.094651
-118.130457,8,16.109754
-118.062605,8,16.121806
-85.350737,8,16.135597
-26.681987,8,16.145372
-18.082865,8,16.163011
-28.481985,8,16.17882
-80.194475,8,16.190874
-139.680137,8,16.214581
-212.838281,8,16.230337
-38.256543,8,16.243956
-135.246946,8,16.26
-188.601855,8,16.270026
-28.341011,8,16.273782
-6.707532,8,16.293106
-41.259714,8,16.310917
-82.392535,8,16.326724
-42.101534,8,16.338511
-61.719463,8,16.352308
-14.133125,8,16.364348
-9.067503,8,16.376134
-188.047254,8,16.395553
-33.40711,8,16.407052
-170.96839,8,16.422236
-2.00638,8,16.432264
-82.89998,8,16.444046
-173.115122,8,16.457747
-12.275287,8,16.46979
-156.946477,8,16.479568
-111.474215,8,16.491438
-31.404407,8,16.507243
-47.518048,8,16.507243
-20.38677,8,16.531023
-54.598261,8,16.548863
-54.453335,8,16.560903
-12.703011,8,16.576705
-183.039178,8,16.590493
-202.070561,8,16.60053
-30.011469,8,16.61633
-92.183758,8,16.626107
-75.033822,8,16.641793
-51.114423,8,16.656987
-41.53534,8,16.668735
-40.408772,8,16.684796
-41.908122,8,16.694831
-83.113818,8,16.69658
-35.741098,8,16.726482
-28.614089,8,16.728234
-149.678952,8,16.750303
-165.986623,8,16.760345
-48.512425,8,16.774396
-33.535509,8,16.78819
-64.377304,8,16.799373
-156.555889,8,16.815428
-38.147761,8,16.823195
-36.569123,8,16.84095
-58.663908,8,16.85473
-88.983902,8,16.87046
-72.948696,8,16.890127
-75.337658,8,16.899881
-108.123929,8,16.91392
-85.793976,8,16.927334
-50.341978,8,16.939098
-101.115411,8,16.952527
-95.465813,8,16.964571
-44.334725,8,16.98195
-71.81863,8,16.995744
-18.931518,8,17.005776
-120.462078,8,17.021566
-143.622641,8,17.031338
-74.698076,8,17.045121
-158.440773,8,17.062901
-129.486905,8,17.072916
-79.914374,8,17.090016
-145.244166,8,17.10005
-90.098692,8,17.113839
-38.335879,8,17.129647
-55.714968,8,17.143054
-28.666826,8,17.158472
-18.856204,8,17.168509
-112.270926,8,17.188293
-84.954125,8,17.20409
-38.659656,8,17.214127
-148.774373,8,17.233696
-69.531522,8,17.245741
-69.155432,8,17.261544
-130.071789,8,17.275843
-53.214889,8,17.285686
-100.648624,8,17.299011
-73.806812,8,17.312763
-70.148339,8,17.33213
-92.05917,8,17.354208
-113.72542,8,17.372023
-59.502244,8,17.393596
-26.997975,8,17.413404
-115.380881,8,17.421458
-81.479567,8,17.451117
-49.056428,8,17.45664
-92.934585,8,17.468724
-26.219562,8,17.490269
-64.917255,8,17.502221
-20.778924,8,17.524705
-227.647904,8,17.535751
-112.095546,8,17.553543
-52.03081,8,17.563168
-76.372229,8,17.580908
-44.477244,8,17.598724
-79.800894,8,17.614189
-176.951908,8,17.641032
-34.281781,8,17.651389
-58.937072,8,17.656699
-47.183851,8,17.674493
-4.985576,8,17.68837
-42.686593,8,17.714308
-28.010597,8,17.726069
-190.569933,8,17.745864
-32.035973,8,17.761653
-103.130629,8,17.773436
-43.290111,8,17.785221
-67.869196,8,17.785221
-31.872993,8,17.815345
-62.819565,8,17.83125
-1.16691,8,17.847121
-82.985509,8,17.866781
-115.018709,8,17.878577
-84.583648,8,17.894385
-58.982665,8,17.908447
-4.704522,8,17.920237
-160.529496,8,17.933555
-56.696207,8,17.941583
-36.598705,8,17.962709
-114.589422,8,17.977502
-76.523066,8,17.989289
-25.243829,8,18.005245
-33.886966,8,18.017975
-114.805568,8,18.02099
-103.686291,8,18.03685
-46.051796,8,18.052885
-70.415027,8,18.068727
-81.284245,8,18.088523
-99.646601,8,18.102318
-27.192254,8,18.120681
-5.137126,8,18.131717
-26.258432,8,18.145765
-61.1151,8,18.148233
-6.606431,8,18.163302
-28.808522,8,18.195059
-126.302095,8,18.195059
-191.431773,8,18.22084
-89.295099,8,18.230593
-27.599859,8,18.245832
-168.612667,8,18.259593
-102.113472,8,18.270567
-36.704789,8,18.278056
-64.708219,8,18.303041
-75.919438,8,18.316827
-158.103429,8,18.330606
-25.824872,8,18.341172
-138.247666,8,18.360717
-68.996117,8,18.372353
-3.834102,8,18.38433
-211.008135,8,18.395824
-146.641248,8,18.409164
-35.546969,8,18.417189
-40.01961,8,18.431215
-12.643622,8,18.44727
-75.028582,8,18.449274
-28.855649,8,18.465167
-51.199631,8,18.479312
-46.568727,8,18.495511
-102.391893,8,18.511652
-3.692587,8,18.533199
-80.775059,8,18.545002
-53.506803,8,18.558793
-126.664148,8,18.568829
-41.763135,8,18.584626
-97.270392,8,18.601116
-13.824075,8,18.612057
-17.584752,8,18.627854
-25.790068,8,18.637765
-34.777004,8,18.637765
-44.471614,8,18.663499
-16.365729,8,18.679964
-131.882924,8,18.698565
-20.257472,8,18.702576
-50.45096,8,18.71661
