#{"t_start": 1779522850.6272454, "env_id": "None"}
r,l,t
-57.432584,8,14.361511
-166.001612,8,14.372487
-58.743472,8,14.385115
-57.817151,8,14.393116
6.243529,8,14.399886
-57.241746,8,14.410885
-79.196089,8,14.416885
-65.146972,8,14.424887
-183.96858,8,14.431885
-66.475619,8,14.437885
-100.78047,8,14.444282
-57.122098,8,14.45093
-132.99597,8,14.459098
-95.186594,8,14.465664
-44.445663,8,14.47357
-124.224082,8,14.480602
-63.457814,8,14.491179
-92.184786,8,14.502636
-84.874611,8,14.509813
-183.346733,8,14.516813
-82.209676,8,14.523827
-161.433458,8,14.531784
-154.168665,8,14.53788
-133.140108,8,14.541791
-47.197621,8,14.541791
-224.978532,8,14.555995
-28.049731,8,14.565854
-110.633691,8,14.572562
-63.841469,8,14.579339
-56.899616,8,14.584572
-203.433341,8,14.752831
-22.117014,8,14.759843
-68.536302,8,14.766095
-205.639619,8,14.774438
-139.679395,8,14.781005
-27.799849,8,14.788508
-31.101535,8,14.795288
-40.138092,8,14.802749
-25.13196,8,14.813875
-132.479555,8,14.819173
-96.558624,8,14.826165
-135.829664,8,14.832613
-77.087901,8,14.843229
-9.064599,8,14.851821
-109.978757,8,14.860014
-32.151701,8,14.867028
-144.404304,8,14.874157
-38.706391,8,14.882141
-42.447798,8,14.887341
-129.165373,8,14.887341
-10.757619,8,14.902984
-80.50293,8,14.916624
-79.331132,8,14.925535
-95.20499,8,14.932601
-68.90634,8,14.9385
-63.738831,8,14.948675
-123.966756,8,14.95367
-109.735363,8,14.963053
-157.111998,8,14.969056
-77.956222,8,14.97505
-101.551368,8,14.980044
-223.638903,8,14.985373
-36.247491,8,15.169836
-193.523012,8,15.180836
-209.601422,8,15.187837
-66.781722,8,15.196834
-81.39801,8,15.203834
-93.865022,8,15.218842
-102.95467,8,15.228833
-121.019466,8,15.234833
-73.92982,8,15.242143
-70.455176,8,15.249145
-80.74463,8,15.25965
-180.005732,8,15.26771
-47.833624,8,15.278631
-49.065781,8,15.287631
-30.456971,8,15.297631
-32.902497,8,15.306631
-185.083091,8,15.314607
-45.84239,8,15.321191
-189.128093,8,15.33416
-43.289229,8,15.341872
-118.252649,8,15.347868
-163.232149,8,15.354868
-136.314821,8,15.364302
-30.886507,8,15.372745
-60.011837,8,15.381176
-179.964855,8,15.386894
-243.277004,8,15.394569
-109.860314,8,15.399857
-20.497844,8,15.405992
-14.324342,8,15.412015
-42.252033,8,15.422415
-201.262871,8,15.432525
-75.340455,8,15.632109
-101.75704,8,15.638338
-71.543593,8,15.64584
-38.401202,8,15.652135
-111.371075,8,15.659133
-136.375575,8,15.661138
-229.171719,8,15.674815
-12.945221,8,15.687212
-48.557933,8,15.696176
-103.328953,8,15.704242
-97.867028,8,15.712141
-1.524211,8,15.725472
-122.006568,8,15.731471
-141.215537,8,15.738024
-116.279099,8,15.74786
-304.220762,8,15.755054
-63.132768,8,15.76196
-59.914033,8,15.767962
-230.636698,8,15.775054
-139.953899,8,15.783029
-73.321473,8,15.790029
-208.768694,8,15.799657
-81.093276,8,15.80692
-9.33533,8,15.818767
-27.105912,8,15.828792
-85.677026,8,15.835694
-105.413809,8,15.846174
-222.430533,8,15.853178
-152.470305,8,15.859969
-118.54352,8,15.86596
-160.735306,8,15.87188
-42.388075,8,15.878654
-300.982074,8,16.135009
-103.763602,8,16.340335
-107.251159,8,16.358341
-28.595375,8,16.394179
-107.235833,8,16.415992
-60.463064,8,16.432253
-114.830577,8,16.449119
-144.069455,8,16.463228
-45.7338,8,16.481348
-124.789838,8,16.490342
-87.701785,8,16.49736
-13.603551,8,16.507905
-106.93575,8,16.519873
-107.550246,8,16.523416
-116.545427,8,16.535974
-8.27523,8,16.547988
-54.050615,8,16.568447
-41.340497,8,16.578454
-36.382531,8,16.585454
-44.890413,8,16.594427
-185.081865,8,16.601426
-25.303437,8,16.611418
-73.024218,8,16.617729
-10.53266,8,16.625037
-179.542877,8,16.632082
-67.476914,8,16.639209
-77.717676,8,16.64769
-5.063109,8,16.654043
-67.836487,8,16.661926
-113.002562,8,16.67918
-29.10013,8,16.685692
-112.889736,8,16.692125
-79.532923,8,16.863407
