#{"t_start": 1779523575.4009054, "env_id": "None"}
r,l,t
-119.896276,8,9.335603
-19.445251,8,9.346293
-118.258419,8,9.355709
-112.031162,8,9.365535
-37.933169,8,9.379718
-101.167144,8,9.390781
-12.372835,8,9.396513
-29.43846,8,9.405895
-36.395402,8,9.415601
-74.998106,8,9.432498
-51.39266,8,9.440575
-8.921158,8,9.446513
-56.129042,8,9.460644
-75.271415,8,9.470706
-75.72442,8,9.479743
-184.23718,8,9.485686
-21.153042,8,9.505774
-53.842326,8,9.519597
-92.68202,8,9.525604
-25.281934,8,9.544786
-99.516475,8,9.557571
-73.142602,8,9.570906
-123.045192,8,9.581868
-41.151395,8,9.589917
-125.9101,8,9.600645
-46.867164,8,9.613115
-48.716877,8,9.624306
-50.167545,8,9.635522
-32.667112,8,9.645598
-55.850885,8,9.670445
-37.172106,8,9.685404
-36.741864,8,9.701764
-54.672861,8,9.710312
-13.406063,8,9.722057
-42.964843,8,9.73161
-81.25603,8,9.742639
-36.954153,8,9.75018
-151.533445,8,9.76943
-9.9565,8,9.780197
-101.608338,8,9.790432
-40.728119,8,9.800281
-81.652408,8,9.819587
-35.062364,8,9.825608
-43.458765,8,9.835688
-99.786825,8,9.844702
-78.152451,8,9.856894
-24.047989,8,9.867394
-172.260915,8,9.875412
-19.837768,8,9.887919
-122.82477,8,9.901359
-36.682784,8,9.908883
-20.206554,8,9.91958
-181.87775,8,9.925602
-69.519727,8,9.939765
-120.919809,8,9.952256
2.269667,8,9.962972
-23.147683,8,9.972495
-72.604717,8,9.98553
-21.961724,8,9.993704
-54.380586,8,10.007861
-189.824087,8,10.020889
-87.160288,8,10.035633
-145.780172,8,10.047186
-21.975345,8,10.05584
-68.060602,8,10.070424
-147.947855,8,10.087653
-149.444528,8,10.106708
-87.584685,8,10.11552
-42.231767,8,10.139577
-101.488558,8,10.155734
-80.48628,8,10.168191
-59.597175,8,10.178725
-70.68021,8,10.185878
-43.749098,8,10.205721
-156.000649,8,10.215752
-88.221199,8,10.229257
-31.432482,8,10.246288
-19.000591,8,10.262925
-63.957718,8,10.272458
-75.137082,8,10.289668
-56.665807,8,10.303297
-73.301628,8,10.317871
-59.388124,8,10.329314
-56.20564,8,10.339585
-52.374781,8,10.355693
-33.292682,8,10.370554
-48.289442,8,10.381872
-79.755221,8,10.38564
-225.309356,8,10.403227
-45.318146,8,10.420205
-46.205547,8,10.43308
-116.198466,8,10.45578
-44.349142,8,10.497658
-80.190591,8,10.522055
-54.150295,8,10.540632
-66.534328,8,10.55968
-134.452951,8,10.593815
-146.61799,8,10.617872
-78.825276,8,10.634419
-35.782465,8,10.65025
-74.176609,8,10.663822
-109.176557,8,10.716596
-87.514381,8,10.729761
-71.998846,8,10.755856
-96.883664,8,10.784734
-84.435474,8,10.804406
-227.210847,8,10.825534
-117.050041,8,10.842458
-21.540587,8,10.848198
-102.814854,8,10.873675
-36.394356,8,10.887915
-34.85155,8,10.904438
-86.525083,8,10.917447
-85.894916,8,10.94273
-27.824075,8,10.955633
-31.489926,8,10.970863
-71.141011,8,10.991737
-21.728154,8,11.01175
-203.251873,8,11.027544
-86.583296,8,11.041693
-202.062605,8,11.06865
-37.363105,8,11.088604
-61.943721,8,11.102373
-39.00227,8,11.116432
-57.279411,8,11.134273
-159.213569,8,11.155329
-169.892857,8,11.174585
-113.226462,8,11.189769
-39.777535,8,11.20595
-324.914925,8,11.229737
-134.488453,8,11.243881
-137.691445,8,11.257597
-24.64175,8,11.304589
-111.15777,8,11.378142
-99.983094,8,11.391858
-56.284707,8,11.406826
-108.729498,8,11.425567
-87.334696,8,11.437784
-118.063801,8,11.457836
-109.291375,8,11.477023
-132.061777,8,11.495738
-163.387418,8,11.521923
-36.980404,8,11.5417
-145.19272,8,11.557822
-61.441222,8,11.571736
-85.523518,8,11.59074
-47.595479,8,11.605339
-59.3275,8,11.617798
-91.94799,8,11.632124
-41.035414,8,11.648608
-26.361999,8,11.663269
-184.822653,8,11.674038
-104.131052,8,11.687443
-53.315213,8,11.703783
-43.00988,8,11.718493
-135.483572,8,11.729805
-41.269497,8,11.740992
-39.854141,8,11.75909
-46.452659,8,11.778343
-145.200391,8,11.791782
-20.630092,8,11.804776
-135.014557,8,11.823732
-115.503234,8,11.838641
-128.382641,8,11.852279
-84.803389,8,11.865548
-44.750232,8,11.888517
-160.569085,8,11.90734
-1.860037,8,11.921639
-5.02303,8,11.932565
-128.514963,8,11.949792
-56.040718,8,11.959315
-151.162415,8,11.972003
-46.062806,8,11.982315
-12.698508,8,12.002626
-153.772756,8,12.008146
-91.356959,8,12.020064
-44.875109,8,12.031937
-57.560407,8,12.038063
-45.367515,8,12.055359
-48.037789,8,12.071796
-105.387979,8,12.081591
-141.94035,8,12.099979
-109.50647,8,12.122124
-113.296104,8,12.134167
-59.818803,8,12.142733
-75.873712,8,12.154785
-70.041308,8,12.164048
-95.710962,8,12.176075
-91.914666,8,12.185368
-80.239411,8,12.204345
-145.016034,8,12.219866
-47.159438,8,12.251034
-38.707311,8,12.26559
-83.263631,8,12.281606
-58.866976,8,12.285626
-42.300495,8,12.307587
-71.009628,8,12.317776
-25.960509,8,12.338423
-23.49971,8,12.348752
-102.809716,8,12.365561
-13.52167,8,12.377099
-6.128656,8,12.388572
-25.195714,8,12.400414
-95.279849,8,12.410762
-56.897847,8,12.425853
-17.194657,8,12.441766
-24.688608,8,12.457301
-68.469257,8,12.465799
-30.697209,8,12.477687
-104.437447,8,12.491509
-146.09719,8,12.503352
-101.025284,8,12.512922
-54.937223,8,12.522409
-38.174083,8,12.540742
-36.749773,8,12.550219
-117.188456,8,12.56405
-76.9433,8,12.578146
-37.966403,8,12.59089
-45.47725,8,12.603359
-3.215806,8,12.612878
